25769803776,94489280512,AST
25769803776,30064771072,AST
25769803776,30064771074,AST
25769803776,30064771075,AST
25769803776,47244640256,AST
25769803776,141733920768,AST
25769803777,30064771078,AST
25769803778,30064771079,AST
25769803779,120259084288,AST
30064771072,68719476736,AST
30064771072,30064771073,AST
30064771073,68719476737,AST
30064771073,90194313216,AST
30064771074,90194313217,AST
30064771075,68719476738,AST
30064771076,30064771077,AST
30064771076,90194313219,AST
30064771077,68719476739,AST
30064771077,90194313218,AST
30064771078,90194313220,AST
30064771079,90194313221,AST
47244640256,30064771076,AST
47244640256,25769803777,AST
47244640256,47244640257,AST
47244640257,25769803778,AST
60129542144,137438953473,AST
60129542145,137438953474,AST
107374182400,25769803776,AST
107374182400,124554051584,AST
107374182401,107374182400,AST
107374182401,25769803779,AST
107374182401,124554051585,AST
107374182402,25769803780,AST
107374182402,124554051586,AST
107374182403,111669149696,AST
107374182403,111669149697,AST
107374182403,25769803781,AST
107374182403,124554051587,AST
107374182403,115964116992,AST
107374182403,115964116993,AST
107374182404,111669149698,AST
107374182404,111669149699,AST
107374182404,25769803782,AST
107374182404,124554051588,AST
107374182404,115964116994,AST
107374182404,115964116995,AST
107374182405,111669149700,AST
107374182405,111669149701,AST
107374182405,25769803783,AST
107374182405,124554051589,AST
107374182405,115964116996,AST
107374182405,115964116997,AST
107374182406,111669149702,AST
107374182406,111669149703,AST
107374182406,25769803784,AST
107374182406,124554051590,AST
107374182406,115964116998,AST
107374182406,115964116999,AST
107374182407,111669149704,AST
107374182407,25769803785,AST
107374182407,124554051591,AST
107374182407,115964117000,AST
107374182408,111669149705,AST
107374182408,25769803786,AST
107374182408,124554051592,AST
107374182408,115964117001,AST
137438953472,107374182403,AST
137438953472,107374182404,AST
137438953472,107374182405,AST
137438953472,107374182406,AST
137438953472,107374182407,AST
137438953472,107374182408,AST
137438953473,73014444032,AST
137438953473,167503724545,AST
137438953474,107374182402,AST
137438953474,167503724546,AST
137438953474,167503724547,AST
137438953474,167503724548,AST
137438953474,167503724549,AST
137438953474,167503724550,AST
141733920768,90194313222,AST
167503724545,107374182401,AST
167503724545,167503724544,AST
